certificate_holder,mark_number,quality_logo,Descriptions,certificate_scope,certificate_data,certificate_holder_address,Final_url
AMEVIDA SE,9105067431,https://www.certipedia.com,,"DTAG-GP CC:
        Erbringung von Inbound und Outbound Dienstleistungen für die Deutsche Telekom Service GmbH",Certificates for management system according to DTAG-GP CC,AMEVIDA SEBrennaborstr. 4844149 DortmundGermany,https://www.certipedia.com/quality_marks/9105067431?locale=en&certificate_number=01+193+129492
AMK Abfallentsorgungsges. des Märkischen Kreises mbH,9105019243,https://www.certipedia.com,,"EfbV:
        treatment, recycling and disposal of waste as stated in annex 1 of certificate",,AMK Abfallentsorgungsges.des Märkischen Kreises mbHGiesestr. 1058636 IserlohnGermany,https://www.certipedia.com/quality_marks/9105019243?locale=en&certificate_number=01+400+0278
Activa Automobil-Service GmbH,9108642659,https://www.certipedia.com/logos/000/288/042/9108642659_en.png?1545010689,"The certificate holder's Management System corresponds to standards:
          
              EN 1090-1
              Factory Production Control","EN 1090-1:
        Factory production control
      
      
        EN 1090-2:
        Factory production control","Certificate for management system according to EN 1090-1
Certificate for management system according to EN 1090-2","Activa Automobil-Service GmbHZur Heide 946325 BorkenGermany



      
      E-mail: info@activa-automobilservice.de",https://www.certipedia.com/quality_marks/9108642659?locale=en&certificate_number=0035-CPR-1090-1%2E02200%2ET%C3%9CVRH%2E2021%2E003
Activa Automobil-Service GmbH,9108642659,https://www.certipedia.com/logos/000/288/042/9108642659_en.png?1545010689,"The certificate holder's Management System corresponds to standards:
          
              EN 1090-1
              Factory Production Control","EN 1090-1:
        Factory production control
      
      
        EN 1090-2:
        Factory production control","Certificate for management system according to EN 1090-1
Certificate for management system according to EN 1090-2","Activa Automobil-Service GmbHZur Heide 946325 BorkenGermany



      
      E-mail: info@activa-automobilservice.de",https://www.certipedia.com/quality_marks/9108642659?locale=en&certificate_number=T%C3%9CVRh-EN1090-2%2E02185%2E2019%2E002
Action Tools Corp.,9105063467,https://www.certipedia.com/logos/000/055/122/9105063467_en.png?1490851524,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Design/Development, Manufacturing and Sales of Socket, Chisel and Toolholders

Including below locations:
No. 6, Lane 352, Kwang Fu Road, Situn District, Taichung 40760, Taiwan, R.O.C.
No. 26, Lane 352, Kwang Fu Road, Situn District, Taichung 40760, Taiwan, R.O.C.",Certificates for management system according to ISO 9001,"Action Tools Corp.No. 6, 26, 82, Lane 352, Kwang Fu Road, Situn District,40760 TaichungTaiwan",https://www.certipedia.com/quality_marks/9105063467?locale=en&certificate_number=01+100+822+106232%2F01
Action Tools Corp.,9105063467,https://www.certipedia.com/logos/000/055/122/9105063467_en.png?1490851524,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Design/Development, Manufacturing and Sales of Socket, Chisel and Toolholders

Including below locations:
No. 6, Lane 352, Kwang Fu Road, Situn District, Taichung 40760, Taiwan, R.O.C.
No. 26, Lane 352, Kwang Fu Road, Situn District, Taichung 40760, Taiwan, R.O.C.",Certificates for management system according to ISO 9001,"Action Tools Corp.No. 6, 26, 82, Lane 352, Kwang Fu Road, Situn District,40760 TaichungTaiwan",https://www.certipedia.com/quality_marks/9105063467?locale=en&certificate_number=01+100+822+106232%2F02
Adalbert Janssen GmbH,9108621301,https://www.certipedia.com/logos/000/149/232/9108621301_en.png?1501072396,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              SCC**","ISO 9001:
        Realisation/production of Bilge separation and cleaning, Anti - Corrosionscoating, Corrosions protection, Plastic coating , Derusting (sandblasting), Working on sealing surfaces (WHG), Clean washing with high pressure up to 37700 psi, Freshwatersystem cleaning, as Industry- and Ship cleaning
      
      
        SCC**:
        Realisation/production of Bilge separation and cleaning, Anti - Corrosionscoating, Corrosions protection, Plastic coating , Derusting (sandblasting), Working on sealing surfaces (WHG), Clean washing with high pressure up to 37700 psi, Freshwatersystem cleaning, as Industry- and Ship cleaning","Certificate for management system according to ISO 9001
Certificate for management system according to SCC**",Adalbert Janssen GmbHKrabbenweg 626388 WilhelmshavenGermany,https://www.certipedia.com/quality_marks/9108621301?locale=en&certificate_number=01+013+1400429
Adalbert Janssen GmbH,9108621301,https://www.certipedia.com/logos/000/149/232/9108621301_en.png?1501072396,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              SCC**","ISO 9001:
        Realisation/production of Bilge separation and cleaning, Anti - Corrosionscoating, Corrosions protection, Plastic coating , Derusting (sandblasting), Working on sealing surfaces (WHG), Clean washing with high pressure up to 37700 psi, Freshwatersystem cleaning, as Industry- and Ship cleaning
      
      
        SCC**:
        Realisation/production of Bilge separation and cleaning, Anti - Corrosionscoating, Corrosions protection, Plastic coating , Derusting (sandblasting), Working on sealing surfaces (WHG), Clean washing with high pressure up to 37700 psi, Freshwatersystem cleaning, as Industry- and Ship cleaning","Certificate for management system according to ISO 9001
Certificate for management system according to SCC**",Adalbert Janssen GmbHKrabbenweg 626388 WilhelmshavenGermany,https://www.certipedia.com/quality_marks/9108621301?locale=en&certificate_number=01+100+1400429
Add Pens Private Limited,9108657536,https://www.certipedia.com/logos/000/365/248/9108657536_en.png?1568364115,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Development and Manufacturing of Pens and Writing instruments.",,"Add Pens Private Limited279-G.I.D.C, Umbergaon,396171 Dist. ValsadIndia",https://www.certipedia.com/quality_marks/9108657536?locale=en&certificate_number=85+100+001+19046
American Heart of Poland S.A.,9105042789,https://www.certipedia.com/logos/000/013/450/9105042789_en.png?1623840833,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015
              ISO 45001:2018
              ISO/IEC 27001:2013","ISO 14001:
        Healthcare services in the area of cardiology, electrophysiology, electrostimulation, radiological procedures, angiology, intravascular and classical vascular surgery. Medical services in anesthesiology and intensive therapy. Healthcare services in the area of cardiac surgery. Medical services in internal medicine, general surgery. Laboratory services. Clinical and pre-clinical trials. Services in medical imaging (MR, CT, RTG, USG, Endoscopy).  Night and emergency healthcare. Outpatient specialist care in the area of cardiology, electrostimulation, electrophysiology, internal medicine and gastrointestinal tract diseases, proctology, occupational medicine, general surgery and vascular surgery, gynecology, urology, diabetology, plastic surgery, neurology, lung diseases, primary health care.
      
      
        ISO 45001:
        Healthcare services in the area of cardiology, electrophysiology, electrostimulation, radiological procedures, angiology, intravascular and classical vascular surgery. Medical services in anesthesiology and intensive therapy. Healthcare services in the area of cardiac surgery. Medical services in internal medicine, general surgery. Laboratory services. Clinical and pre-clinical trials. Services in medical imaging (MR, CT, RTG, USG, Endoscopy).  Night and emergency healthcare. Outpatient specialist care in the area of cardiology, electrostimulation, electrophysiology, internal medicine and gastrointestinal tract diseases, proctology, occupational medicine, general surgery and vascular surgery, gynecology, urology, diabetology, plastic surgery, neurology, lung diseases, primary health care.
      
      
        ISO 9001:
        Healthcare services in the area of cardiology, electrophysiology, electrostimulation, radiological procedures, angiology, intravascular and classical vascular surgery. Medical services in anesthesiology and intensive therapy. Healthcare services in the area of cardiac surgery. Medical services in internal medicine, general surgery. Laboratory services. Clinical and pre-clinical trials. Services in medical imaging (MR, CT, RTG, USG, Endoscopy).  Night and emergency healthcare. Outpatient specialist care in the area of cardiology, electrostimulation, electrophysiology, internal medicine and gastrointestinal tract diseases, proctology, occupational medicine, general surgery and vascular surgery, gynecology, urology, diabetology, plastic surgery, neurology, lung diseases, primary health care.
      
      
        ISO/IEC 27001:
        Healthcare services in the area of cardiology, electrophysiology, electrostimulation, radiological procedures, angiology, intravascular and classical vascular surgery. Medical services in anesthesiology and intensive therapy. Healthcare services in the area of cardiac surgery. Medical services in internal medicine, general surgery. Laboratory services. Clinical and pre-clinical trials. Services in medical imaging (MR, CT, RTG, USG, Endoscopy).  Night and emergency healthcare. Outpatient specialist care in the area of cardiology, electrostimulation, electrophysiology, internal medicine and gastrointestinal tract diseases, proctology, occupational medicine, general surgery and vascular surgery, gynecology, urology, diabetology, plastic surgery, neurology, lung diseases, primary health care.
Statement of Applicability: ed.01 from 13.07.2018","Certificates for management system according to ISO 14001
Certificates for management system according to ISO 45001
Certificates for management system according to ISO 9001
Certificates for management system according to ISO/IEC 27001",American Heart of Poland S.A.ul. Sanatoryjna 143-450 UstrońPoland,https://www.certipedia.com/quality_marks/9105042789?locale=en&certificate_number=0198+100+00875%2F01
American Heart of Poland S.A.,9105042789,https://www.certipedia.com/logos/000/013/450/9105042789_en.png?1623840833,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015
              ISO 45001:2018
              ISO/IEC 27001:2013","ISO 14001:
        Healthcare services in the area of cardiology, electrophysiology, electrostimulation, radiological procedures, angiology, intravascular and classical vascular surgery. Medical services in anesthesiology and intensive therapy. Healthcare services in the area of cardiac surgery. Medical services in internal medicine, general surgery. Laboratory services. Clinical and pre-clinical trials. Services in medical imaging (MR, CT, RTG, USG, Endoscopy).  Night and emergency healthcare. Outpatient specialist care in the area of cardiology, electrostimulation, electrophysiology, internal medicine and gastrointestinal tract diseases, proctology, occupational medicine, general surgery and vascular surgery, gynecology, urology, diabetology, plastic surgery, neurology, lung diseases, primary health care.
      
      
        ISO 45001:
        Healthcare services in the area of cardiology, electrophysiology, electrostimulation, radiological procedures, angiology, intravascular and classical vascular surgery. Medical services in anesthesiology and intensive therapy. Healthcare services in the area of cardiac surgery. Medical services in internal medicine, general surgery. Laboratory services. Clinical and pre-clinical trials. Services in medical imaging (MR, CT, RTG, USG, Endoscopy).  Night and emergency healthcare. Outpatient specialist care in the area of cardiology, electrostimulation, electrophysiology, internal medicine and gastrointestinal tract diseases, proctology, occupational medicine, general surgery and vascular surgery, gynecology, urology, diabetology, plastic surgery, neurology, lung diseases, primary health care.
      
      
        ISO 9001:
        Healthcare services in the area of cardiology, electrophysiology, electrostimulation, radiological procedures, angiology, intravascular and classical vascular surgery. Medical services in anesthesiology and intensive therapy. Healthcare services in the area of cardiac surgery. Medical services in internal medicine, general surgery. Laboratory services. Clinical and pre-clinical trials. Services in medical imaging (MR, CT, RTG, USG, Endoscopy).  Night and emergency healthcare. Outpatient specialist care in the area of cardiology, electrostimulation, electrophysiology, internal medicine and gastrointestinal tract diseases, proctology, occupational medicine, general surgery and vascular surgery, gynecology, urology, diabetology, plastic surgery, neurology, lung diseases, primary health care.
      
      
        ISO/IEC 27001:
        Healthcare services in the area of cardiology, electrophysiology, electrostimulation, radiological procedures, angiology, intravascular and classical vascular surgery. Medical services in anesthesiology and intensive therapy. Healthcare services in the area of cardiac surgery. Medical services in internal medicine, general surgery. Laboratory services. Clinical and pre-clinical trials. Services in medical imaging (MR, CT, RTG, USG, Endoscopy).  Night and emergency healthcare. Outpatient specialist care in the area of cardiology, electrostimulation, electrophysiology, internal medicine and gastrointestinal tract diseases, proctology, occupational medicine, general surgery and vascular surgery, gynecology, urology, diabetology, plastic surgery, neurology, lung diseases, primary health care.
Statement of Applicability: ed.01 from 13.07.2018","Certificates for management system according to ISO 14001
Certificates for management system according to ISO 45001
Certificates for management system according to ISO 9001
Certificates for management system according to ISO/IEC 27001",American Heart of Poland S.A.ul. Sanatoryjna 143-450 UstrońPoland,https://www.certipedia.com/quality_marks/9105042789?locale=en&certificate_number=0198+100+00875%2F06
ADEMINSA COLOMBIA SAS,9000000969,https://www.certipedia.com/logos/000/353/464/9000000969_en.png?1559676199,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Training, marketing of equipment and provision of predictive maintenance services and tests nodestructivos, energy audits and tasks of auditing and inspection in industrial assemblies and implementation of maintenance programs for the industry in general.",,ADEMINSA COLOMBIA SASCra 48 # 170 - 43110111 BOGOTAColombia,https://www.certipedia.com/quality_marks/9000000969?locale=en&certificate_number=01+100+5714+1929685
Ademco 1 GmbH,9108654928,https://www.certipedia.com/logos/000/339/722/9108654928_en.png?1561378126,"The certificate holder's Management System corresponds to standards:
          
              ISO 14001:2015
              ISO 45001:2018","D:
        Manufacturing of safety and pressure accessories:
Safety-valves,  shut-off valves, thermal  discharge valves
      
      
        ISO 14001:
        Development and production of control and safety valves
      
      
        ISO 45001:
        Development and production of control and safety valves","Certificate for management system according to D
Certificate for management system according to ISO 14001
Certificate for management system according to ISO 45001",Ademco 1 GmbHHardhofweg 4074821 MosbachGermany,https://www.certipedia.com/quality_marks/9108654928?locale=en&certificate_number=01+202+641%2FQ-18+0002
Adelmann GmbH,9000009037,https://www.certipedia.com/logos/000/421/366/9000009037_en.png?1604402157,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Development, sales and production of single-/serial parts and assemblies made of metal, mainly stainless steel and aluminum, also as contract manufacturing",,Adelmann GmbHWilhelm-Leonhard-Str. 577694 KehlGermany,https://www.certipedia.com/quality_marks/9000009037?locale=en&certificate_number=01+100+2000059
ADELMA,9108656410,https://www.certipedia.com,,"ISO 9001:
        Industrialization and realization of precision sheet metal products",,ADELMARoute secondaire 322 (ex111) Km 12.40028632 Aïn Harrouda-CasablancaMorocco,https://www.certipedia.com/quality_marks/9108656410?locale=en&certificate_number=01+100+1815374
Ademco 1 GmbH,9108654928,https://www.certipedia.com/logos/000/339/722/9108654928_en.png?1561378126,"The certificate holder's Management System corresponds to standards:
          
              ISO 14001:2015
              ISO 45001:2018","D:
        Manufacturing of safety and pressure accessories:
Safety-valves,  shut-off valves, thermal  discharge valves
      
      
        ISO 14001:
        Development and production of control and safety valves
      
      
        ISO 45001:
        Development and production of control and safety valves","Certificate for management system according to D
Certificate for management system according to ISO 14001
Certificate for management system according to ISO 45001",Ademco 1 GmbHHardhofweg 4074821 MosbachGermany,https://www.certipedia.com/quality_marks/9108654928?locale=en&certificate_number=01+213+1900272
Ademco 1 GmbH,9108654928,https://www.certipedia.com/logos/000/339/722/9108654928_en.png?1561378126,"The certificate holder's Management System corresponds to standards:
          
              ISO 14001:2015
              ISO 45001:2018","D:
        Manufacturing of safety and pressure accessories:
Safety-valves,  shut-off valves, thermal  discharge valves
      
      
        ISO 14001:
        Development and production of control and safety valves
      
      
        ISO 45001:
        Development and production of control and safety valves","Certificate for management system according to D
Certificate for management system according to ISO 14001
Certificate for management system according to ISO 45001",Ademco 1 GmbHHardhofweg 4074821 MosbachGermany,https://www.certipedia.com/quality_marks/9108654928?locale=en&certificate_number=01+104+1900272
ADEMOTEC GmbH,9000002997,https://www.certipedia.com,,"EN 1090-1:
        Requirements for conformity assessment
- Load-bearing structural Aluminum members in all types of construction works",,ADEMOTEC GmbHAm Golfplatz 214979 GroßbeerenGermany,https://www.certipedia.com/quality_marks/9000002997?locale=en&certificate_number=0035-CPR-1090-1%2E02551%2ET%C3%9CVRH%2E2020%2E002
Aditya Forge Limited,9105048152,https://www.certipedia.com/logos/000/243/768/9105048152_en.png?1501236123,The certificate holder's Management System corresponds to standard ISO 9001:2008.,"MM+AD2000W0:
        Manufacturing and supply of Forgings, Forged Bars, Formed and Machined Components, Pipe and Pipe Fittings seamless and welded in Stainless Steel, Carbon Steel and Alloy Steel",Certificates for management system according to MM+AD2000W0,"Aditya Forge Limited415, GIDC, Raman Gamdi391243 PorIndia",https://www.certipedia.com/quality_marks/9105048152?locale=en&certificate_number=01+202+IND%2FQ-20+0014
Aditya Forge Limited,9105048152,https://www.certipedia.com/logos/000/243/768/9105048152_en.png?1501236123,The certificate holder's Management System corresponds to standard ISO 9001:2008.,"MM+AD2000W0:
        Manufacturing and supply of Forgings, Forged Bars, Formed and Machined Components, Pipe and Pipe Fittings seamless and welded in Stainless Steel, Carbon Steel and Alloy Steel",Certificates for management system according to MM+AD2000W0,"Aditya Forge Limited415, GIDC, Raman Gamdi391243 PorIndia",https://www.certipedia.com/quality_marks/9105048152?locale=en&certificate_number=01+202+IND%2FQ-11+0006
Aditya College of Architecture,9000006844,https://www.certipedia.com/logos/000/405/964/9000006844_en.png?1594208235,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Providing Professional Education in the field of Architecture and Vocational Training related to Architecture.",,"Aditya College of ArchitectureR.M. Bhattad Road,Ram Nagar,Aditya Educational Campus400092 Borivali West, MumbaiIndia",https://www.certipedia.com/quality_marks/9000006844?locale=en&certificate_number=85+100+001+20020
ADOKİM KİMYA SANAYİ VE TİCARET A.Ş.,9000011186,https://www.certipedia.com/logos/000/436/870/9000011186_en.png?1613137099,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        Production, Sales and Marketing of Ethyl Acetate and Buthyl Acetate and Related  Foreign Trade, Customs, Management and Administrative Organizational Activities and  Transactions.
      
      
        ISO 9001:
        Production, Sales and Marketing of Ethyl Acetate and Buthyl Acetate and Related  Foreign Trade, Customs, Management and Administrative Organizational Activities and  Transactions.","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001",ADOKİM KİMYA SANAYİ VE TİCARET A.Ş.Antalya Organize Sanayi Bölgesi 3.Kısım Mah. 35.CaddeAdo Grup A.Ş. AptANTALYATurkey,https://www.certipedia.com/quality_marks/9000011186?locale=en&certificate_number=01+100+2015866
ADOKİM KİMYA SANAYİ VE TİCARET A.Ş.,9000011186,https://www.certipedia.com/logos/000/436/870/9000011186_en.png?1613137099,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        Production, Sales and Marketing of Ethyl Acetate and Buthyl Acetate and Related  Foreign Trade, Customs, Management and Administrative Organizational Activities and  Transactions.
      
      
        ISO 9001:
        Production, Sales and Marketing of Ethyl Acetate and Buthyl Acetate and Related  Foreign Trade, Customs, Management and Administrative Organizational Activities and  Transactions.","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001",ADOKİM KİMYA SANAYİ VE TİCARET A.Ş.Antalya Organize Sanayi Bölgesi 3.Kısım Mah. 35.CaddeAdo Grup A.Ş. AptANTALYATurkey,https://www.certipedia.com/quality_marks/9000011186?locale=en&certificate_number=01+104+2015866
Admiral Testing and Surveying Services,9105084418,https://www.certipedia.com/logos/000/171/008/9105084418_en.png?1543975490,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Provision of Third Party Steel Inspection",,"Admiral Testing and Surveying ServicesSuite 419, FEMII Building, A. Soriano Ave.,Intramuros, ManilaPhilippines",https://www.certipedia.com/quality_marks/9105084418?locale=en&certificate_number=01+100+1534739
ADNOC Offshore,9000013457,https://www.certipedia.com/logos/000/451/348/9000013457_en.png?1625735196,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015
              ISO 45001:2018
              ISO 50001:2018","ISO 14001:
        Exploration, Production, Processing and Export of Oil & Gas Associated Services at Umm Shaif Field, Lower Zakum Field, Nasr Field, Upper Zakum Field including 4 Artificial Islands [Al Ghallan, Asseifiya, Ettouk and Umm Al Anbar], Umm Al Dalkh Field, Umm Lulu Field, SARB Field including 2 Artificial Islands [Al Qatia and Bu Sikeen], Satah Field, Arzanah Island, Das Island, Zirku Island, Al Hyleh Barge, Mussafah Base, Abu Dhabi Head Office and Supervision of Drilling & Logistics Operations.
      
      
        ISO 45001:
        Exploration, Production, Processing and Export of Oil & Gas Associated Services at Umm Shaif Field, Lower Zakum Field, Nasr Field, Upper Zakum Field including 4 Artificial Islands [Al Ghallan, Asseifiya, Ettouk and Umm Al Anbar], Umm Al Dalkh Field, Umm Lulu Field, SARB Field including 2 Artificial Islands [Al Qatia and Bu Sikeen], Satah Field, Arzanah Island, Das Island, Zirku Island, Al Hyleh Barge, Mussafah Base, Abu Dhabi Head Office and Supervision of Drilling & Logistics Operations.
      
      
        ISO 50001:
        Exploration, Production, Processing and Export of Oil & Gas Associated Services at Umm Shaif Field, Lower Zakum Field, Upper Zakum Field including 4 Artificial Islands [Al Ghallan, Asseifiya, Ettouk and Umm Al Anbar], Das Island, Nasr Field, Umm Lulu Field, SARB Field including 02 Artificial Islands [Al Qatia and Bu Sikeen], Zirku Island, Umm Al Dalkh Field, Arzanah Island and Satah Field.
      
      
        ISO 9001:
        Exploration, Production, Processing and Export of Oil & Gas Associated Services at Umm Shaif Field, Lower Zakum Field, Nasr Field, Upper Zakum Field including 4 Artificial Islands [Al Ghallan, Asseifiya, Ettouk and Umm Al Anbar], Umm Al Dalkh Field, Umm Lulu Field, SARB Field including 2 Artificial Islands [Al Qatia and Bu Sikeen], Satah Field, Arzanah Island, Das Island, Zirku Island, Al Hyleh Barge, Mussafah Base, Abu Dhabi Head Office and Supervision of Drilling & Logistics Operations.
      
      
        ISO/IEC 20000-1:
        The Service Management System of ADNOC Offshore – Information Technology Division Supporting of IT Services to all Business Units, Data center and all locations of ADNOC Offshore from Hamdan Bin Mohamed Street, Abu Dhabi in accordance with the Service Catalogue.","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 45001
Certificate for management system according to ISO 50001
Certificate for management system according to ISO 9001
Certificate for management system according to ISO/IEC 20000-1","ADNOC OffshoreWorld Trade Center Building, Hamdan Bin Mohammed Street303 Abu DhabiUnited Arab Emirates",https://www.certipedia.com/quality_marks/9000013457?locale=en&certificate_number=01+103+2122586
